name,scope,venue_series,item_type,region,country,country_code,series,year,lat,lng,image_url,hobbydb_url,more_info_url,notes,sub_collection,variant_of,variant_notes
Disney California Adventure,city,,mug,California,United States,US,Been There Disney Parks,2019,33.8049,-117.9212,https://starbucks-mugs.com/wp-content/uploads/2019/04/bt_cali_adventure.jpg,,https://starbucks-mugs.com/mug/been-there-disney-california-adventure/,"Disneyland Resort, Anaheim",California Adventure,,
Disneyland,city,,mug,California,United States,US,Been There Disney Parks,2019,33.8121,-117.919,https://starbucks-mugs.com/wp-content/uploads/2019/04/bt_disneyland.jpg,,https://starbucks-mugs.com/mug/been-there-disney-disneyland/,"Disneyland Resort, Anaheim",Disney,,
Magic Kingdom,city,,mug,Florida,United States,US,Been There Disney Parks,2019,28.4177,-81.5812,https://starbucks-mugs.com/wp-content/uploads/2019/04/bt_magic_kingdom_release_preview.jpg,,https://starbucks-mugs.com/mug/been-there-disney-magic-kingdom/,"Walt Disney World, Orlando",Disney,,
EPCOT,city,,mug,Florida,United States,US,Been There Disney Parks,2019,28.3747,-81.5494,https://starbucks-mugs.com/wp-content/uploads/2019/04/bt_disney_epcot_1_1.jpg,,https://starbucks-mugs.com/mug/been-there-disney-epcot/,"Walt Disney World, Orlando",Disney,,
Animal Kingdom,city,,mug,Florida,United States,US,Been There Disney Parks,2019,28.3553,-81.5899,https://starbucks-mugs.com/wp-content/uploads/2019/04/bt_disney_ak_1_1.jpg,,https://starbucks-mugs.com/mug/been-there-disney-animal-kingdom/,"Walt Disney World, Orlando",Disney,,
Hollywood Studios,city,,mug,Florida,United States,US,Been There Disney Parks,2019,28.3575,-81.5584,https://starbucks-mugs.com/wp-content/uploads/2019/04/bt_disney_hs_1_1.jpg,,https://starbucks-mugs.com/mug/been-there-disney-hollywood-studios/,"Walt Disney World, Orlando",Disney,,
Wakanda,themed,Been There Disney Parks,mug,,,,Been There Marvel,2021,0,0,https://starbucks-mugs.com/wp-content/uploads/2023/08/bt_wakana_main_876.jpg,,https://starbucks-mugs.com/mug/been-there-marvel-wakanda/,Black Panther / Wakanda — sold at Disney parks worldwide,Disney,,
Firenze,city,,mug,,Italy,IT,You Are Here,2015,43.7696,11.2558,https://starbucks-mugs.com/wp-content/uploads/2026/02/yah_firenze_main.jpg,,https://starbucks-mugs.com/mug/you-are-here-firenze/,,Florence,,
Torino,city,,mug,,Italy,IT,You Are Here,2015,45.0703,7.6869,https://starbucks-mugs.com/wp-content/uploads/2025/11/yah_torino_main.jpg,,https://starbucks-mugs.com/mug/you-are-here-torino/,,Turin,,
Italia,city,,mug,,Italy,IT,You Are Here,2015,41.8719,12.5674,https://starbucks-mugs.com/wp-content/uploads/2025/06/yah_italia_main.jpg,,https://starbucks-mugs.com/mug/you-are-here-italia/,,Yah,,
Milano,city,,mug,,Italy,IT,You Are Here,2015,45.4642,9.19,https://starbucks-mugs.com/wp-content/uploads/2025/08/yah_milano_1.jpg,,https://starbucks-mugs.com/mug/you-are-here-milano/,,Italia,,
Kosice,city,,mug,,Slovakia,SK,You Are Here,2015,48.7163,21.2611,https://starbucks-mugs.com/wp-content/uploads/2025/04/yah_kosice_main.jpg,,https://starbucks-mugs.com/mug/you-are-here-kosice/,,Yah,,
